id,parsed_jt,certification,llm_evaluation,llm_explanation,certification_names,jt-certification match,cluster,cluster_label,seniority
354,ATHLETIC TRAINER SHS Sports Medicine,CPR certification,MATCH,CPR certification is essential for Athletic Trainers who often respond to medical emergencies.,CPR certification,POSSIBLE MATCH,6,Athletics/Sports Staff,Non-managerial
355,ATHLETIC TRAINER Sports Medicine,CPR certification,MATCH,CPR certification is commonly required for Athletic Trainers as they often respond to medical emergencies.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
356,ATHLETIC TRAINER Student Health,CPR certification,MATCH,"CPR certification is commonly required for Athletic Trainers, especially in student health settings.",CPR certification,MATCH,8,Community & Recreation Services,Non-managerial
357,ATHLETIC TRAINER Student Health Services Sports Medicine,CPR certification,MATCH,CPR certification is highly relevant and often required for Athletic Trainers dealing with sports injuries and emergencies.,CPR certification,MATCH,6,Athletics/Sports Staff,Non-managerial
369,AV Installation Tecnhician,OSHA certification,MATCH,OSHA certification is often required for AV technicians due to workplace safety regulations and site access.,OSHA certification,POSSIBLE MATCH,0,Skilled Trades & Technicians,Non-managerial
390,AVP Information Governance Risk Compliance ( GRC,CISM,MATCH,"CISM is highly relevant for Information Governance, Risk, and Compliance roles, focusing on information security management.",CISM,POSSIBLE MATCH,4,Construction and Facilities,Non-managerial
417,Academic Intervention Teacher Behavior Support,Master License,MATCH,"A Master License is a type of teaching license, often required or beneficial for experienced teachers in specialized roles.",Master License,NO MATCH,2,Education Professionals,Non-managerial
418,Academic Intervention Teacher ELA Math,Master License,MATCH,A Master License is a type of teaching license relevant for an Academic Intervention Teacher role.,Master License,NO MATCH,2,Education Professionals,Non-managerial
419,Academic Intervention Teacher English Language Arts,Master License,MATCH,A Master License is a relevant professional teaching credential for an experienced teacher role.,Master License,NO MATCH,2,Education Professionals,Non-managerial
699,Active Kids Assistant Trainer,CPR certification,MATCH,CPR is highly relevant for roles involving children's safety and physical activity.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
700,Active Kids Lead Trainer,CPR certification,MATCH,CPR certification is highly relevant for a role involving children's physical activity and safety.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
702,Activities Assistant,CPR certification,MATCH,"CPR is often required for Activities Assistants, especially when working with vulnerable populations.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
703,Activities Assistant,CPR certification,MATCH,"CPR certification is often required for Activities Assistants, especially when working with vulnerable populations.",CPR certification,NO MATCH,8,Community & Recreation Services,Non-managerial
705,Activities Assistant Life Enrichment,CPR certification,MATCH,"CPR is often required for roles involving direct care and activities, especially with vulnerable populations.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
707,Activities Coordinator,CPR certification,MATCH,Activities Coordinators often require CPR for participant safety during events.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
708,Activities Director,CPR certification,MATCH,Activities Directors often require CPR for participant safety during events and activities.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
709,Activities Program Assistant,CPR certification,MATCH,CPR certification is often required for roles involving direct care or supervision of individuals in activities.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
710,Activities Specialist COTA,CPR certification,MATCH,"CPR certification is often required for healthcare-related roles like COTA, ensuring patient safety during activities.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
711,Activities Specialist COTA,CPR certification,MATCH,CPR is often required for healthcare-related roles like COTA involving direct client interaction and activities.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
712,Activity Assistant,CPR certification,MATCH,CPR certification is often required for Activity Assistants working with vulnerable populations.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
713,Activity Assistant,CPR certification,MATCH,CPR certification is often required for Activity Assistants working with vulnerable populations.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
714,Activity Center Specialist,First Aid certification,MATCH,Activity Center Specialists often require First Aid for participant safety in case of accidents or emergencies.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
715,Activity Program Aide,CPR certification,MATCH,"CPR is often required for roles involving direct care or supervision, like Activity Program Aide.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
747,Acute Care RN LPN Urgent Care,CPR certification,MATCH,CPR certification is typically required for nursing roles in acute and urgent care settings.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
748,Acute Care Registered Nurse,CPR certification,MATCH,CPR is a standard and often required certification for Acute Care Registered Nurses.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
750,Acute Care Registered Nurse Renal Medical Surgical Unit,CPR certification,MATCH,CPR is a fundamental and often required certification for registered nurses in acute care settings.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
751,Acute Care Rehabilitation Technician,CPR certification,MATCH,"CPR is often required for healthcare roles involving direct patient care, like an Acute Care Rehabilitation Technician.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
753,Acute Dialysis Registered Nurse,CPR certification,MATCH,"CPR is a fundamental and often required certification for registered nurses, especially in acute care settings like dialysis.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
754,Acute Inpatient Dialysis Registered Nurse RN,CPR certification,MATCH,CPR is a standard and often required certification for Registered Nurses in acute care settings.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
756,Acute Inpatient Registered Nurse RN,CPR certification,MATCH,CPR certification is a standard and often mandatory requirement for Registered Nurses in acute inpatient settings.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
757,Acute Inpatient Registered Nurse RN,CPR certification,MATCH,CPR certification is a standard and often required skill for Registered Nurses in acute inpatient settings.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
760,Acute Patient Care Technician Dialysis PCT,CPR certification,MATCH,"CPR is a standard requirement for Patient Care Technicians involved in direct patient care, including dialysis settings.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
761,Acute Patient Care Technician Dialysis PCT,CPR certification,MATCH,CPR is a common and often required certification for Patient Care Technicians involved in direct patient care.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
762,Acute Patient Care Technician PCT,CPR certification,MATCH,CPR is a standard and often required certification for Patient Care Technicians in acute care settings.,CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
763,Acute Patient Care Technician PCT,CPR certification,MATCH,"CPR is a fundamental and often required certification for Patient Care Technicians, especially in acute care settings.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
764,Acute RN,CPR certification,MATCH,"CPR certification is typically required for Registered Nurses, especially in acute care settings.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
765,Acute RN Dialysis,CPR certification,MATCH,"CPR is a standard and often required certification for Registered Nurses, especially in acute care like dialysis.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
791,Adjunct Exercise Science,CPR certification,MATCH,"CPR is a common and relevant certification for exercise science professionals, including adjunct faculty.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
807,Adjunct Faculty Medical Imaging Program,CPR certification,MATCH,"CPR is highly relevant for faculty in medical programs, often a basic requirement or preferred.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
811,Adjunct Faculty School of Optometry Clinical Low Vision,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Optometry faculty in a clinical role typically require professional licensure.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
845,Admin Mgmt RN,CPR certification,MATCH,"CPR is a common requirement for Registered Nurses, even in administrative or management roles.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
846,Admin Mgmt RN,CPR certification,MATCH,"CPR certification is a standard requirement for Registered Nurses, including those in administrative roles.",CPR certification,NO MATCH,9,Nursing & Healthcare,Non-managerial
847,Admin Mgmt RN,CPR certification,MATCH,"CPR certification is commonly required for Registered Nurses (RNs), even in administrative or management roles.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
870,Administrative Assistant Cardiology,CPR certification,MATCH,"CPR is often required for roles in healthcare settings, especially in cardiology.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Managerial
885,Administrative Assistant Non Invasive Cardiology,CPR certification,MATCH,"CPR certification is often beneficial or required for staff in medical settings, including administrative roles in cardiology.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Managerial
906,Administrative Coordinator EMERGENCY MEDICINE,CPR certification,MATCH,"CPR certification is highly relevant for roles in an Emergency Medicine department, even administrative ones.",CPR certification,POSSIBLE MATCH,1,Healthcare Professionals,Managerial
921,Administrative Executive Assistant Clinical,CPR certification,MATCH,CPR is often required or beneficial for roles in clinical settings due to potential patient emergencies.,CPR certification,NO MATCH,7,Behavioral Health Specialists,Managerial
929,Administrative Nursing Supervisor,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Nursing supervisors typically require licensure mandated by the relevant jurisdiction.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,9,Nursing & Healthcare,Managerial
977,Admissions Discharge Planner,CPR certification,MATCH,Admissions Discharge Planners often work in healthcare settings where CPR certification is relevant and sometimes required.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
983,Admissions Nurse,CPR certification,MATCH,CPR is a common and often required certification for nurses in patient-facing roles.,CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
989,Admissions and Discharge Registered Nurse,CPR certification,MATCH,"CPR certification is commonly required for Registered Nurses in clinical roles, including admissions and discharge.",CPR certification,MATCH,9,Nursing & Healthcare,Managerial
992,Admitting Registration,CPR certification,MATCH,"CPR is often required for patient-facing roles in healthcare settings, including admitting and registration staff.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
994,Admitting Representative Admitting Operations,CPR certification,MATCH,Admitting representatives often work in healthcare settings where CPR certification is relevant and sometimes required.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
1007,Adolescent Psych RN,CPR certification,MATCH,"CPR certification is commonly required for Registered Nurses, including those in psychiatric specialties.",CPR certification,POSSIBLE MATCH,9,Nursing & Healthcare,Non-managerial
1022,Adult Behavioral Caregiver,CPR certification,MATCH,CPR is often required for caregivers as it's a crucial life-saving skill in emergencies.,CPR certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
1024,Adult Care Worker,CPR certification,MATCH,CPR is a crucial skill for Adult Care Workers who may encounter medical emergencies.,CPR certification,POSSIBLE MATCH,5,Certified Nursing Assistants,Non-managerial
1027,Adult Direct Care Worker,CPR certification,MATCH,CPR is often required for direct care roles to handle medical emergencies.,CPR certification,NO MATCH,5,Certified Nursing Assistants,Non-managerial
1030,Adult Family Care RN,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"RN roles require licensure by the relevant authority, making this a direct match.",Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,9,Nursing & Healthcare,Non-managerial
1038,Adult Mobile Crisis Clinician,CPR certification,MATCH,"CPR is often required for clinicians responding to crises, as medical emergencies can co-occur with mental health crises.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
1039,Adult Mobile Crisis Clinician Masters,CPR certification,MATCH,CPR is often required for crisis clinicians who may encounter medical emergencies.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
1040,Adult Nurse Practitioner,CPR certification,MATCH,CPR is a fundamental and often required certification for healthcare professionals like Nurse Practitioners.,CPR certification,POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
1043,Adult Outpatient Psychiatrist Clinical Services Director,CPR certification,MATCH,"CPR is often required for medical professionals, including psychiatrists, for emergency response.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Managerial
1049,Adult Services Supervisor,CPR certification,MATCH,CPR is often relevant or required for supervisors in adult care or community service settings involving direct interaction.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Managerial
1050,Adults Social Worker,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Social work roles typically require licensure by the relevant jurisdiction.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
1052,Adv Practice Nurse,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Advanced Practice Nurses require licensure by the relevant authority to practice legally.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
1053,Advance Practice Clinician NP PA,CPR certification,MATCH,CPR is a standard requirement for healthcare providers like NPs and PAs.,CPR certification,POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
1055,Advance Practice Provider,CPR certification,MATCH,CPR is a common and often required certification for Advance Practice Providers in healthcare settings.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1068,Advanced Fetal Imaging Sonographer,CPR certification,MATCH,"CPR is often required for healthcare professionals, including sonographers, who have direct patient contact.",CPR certification,POSSIBLE MATCH,3,Allied Health & Biomedical,Non-managerial
1073,Advanced Manufacturing Teacher,OSHA certification,MATCH,OSHA certification is highly relevant for teaching safety standards in a manufacturing environment.,OSHA certification,NO MATCH,2,Education Professionals,Non-managerial
1076,Advanced Practice Clinician,CPR certification,MATCH,CPR certification is commonly required for Advanced Practice Clinicians involved in direct patient care.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1077,Advanced Practice Clinician,CPR certification,MATCH,CPR is a standard requirement for clinicians involved in direct patient care.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1083,Advanced Practice Provider,OSHA certification,MATCH,OSHA certification is relevant for workplace safety compliance in healthcare settings where Advanced Practice Providers operate.,OSHA certification,NO MATCH,1,Healthcare Professionals,Non-managerial
1084,Advanced Practice Provider Amyloidosis,CPR certification,MATCH,CPR is a standard requirement for healthcare providers in direct patient care roles.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1085,Advanced Practice Provider Hematology and Hematologic Malignancies Medicine,CPR certification,MATCH,CPR is a standard and often required certification for Advanced Practice Providers in clinical settings.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1086,Advanced Practice Provider Hematology and Hematologic Malignancies Medicine Hematology Medical Oncology,CPR certification,MATCH,CPR is a standard requirement for Advanced Practice Providers in direct patient care roles.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1087,Advanced Practice Provider Hospitalist,CPR certification,MATCH,CPR is a standard requirement for healthcare providers like Hospitalists.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1089,Advanced Practice Provider Sickle Cell Disease and Hemoglobinopathies Medicine Hematology Medical Oncology,CPR certification,MATCH,CPR is a common requirement for Advanced Practice Providers in direct patient care roles.,CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1090,Advanced Practice Provider Solid Tumor Oncology Hematology Medical Oncology,CPR certification,MATCH,"CPR is a standard requirement for Advanced Practice Providers in direct patient care, including oncology.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
1119,Advisory Cyber & Strategic Risk Cyber Identity Ping Senior Consultant,CISSP,MATCH,"CISSP is highly relevant for senior cybersecurity roles, including those focused on identity and risk management.",CISSP,MATCH,4,Construction and Facilities,Non-managerial
1120,Advisory Cyber & Strategic Risk Cyber Identity Sa,CISSP,MATCH,"CISSP is highly relevant for senior roles in cybersecurity, strategic risk, and identity management.",CISSP,MATCH,8,Community & Recreation Services,Non-managerial
1128,Aerospace Welder,Welding certification,MATCH,"Welding certifications are essential for aerospace welders, verifying skills and adherence to industry standards.",Welding certification,MATCH,0,Skilled Trades & Technicians,Non-managerial
1134,After Daycare Program Aide,CPR certification,MATCH,CPR certification is often required or highly recommended for roles involving childcare for safety reasons.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
1139,After School Group Leader,First Aid certification,MATCH,"First Aid is often required for roles involving childcare and supervision, ensuring safety.",First Aid certification,NO MATCH,8,Community & Recreation Services,Managerial
1141,After School Instructor,First Aid certification,MATCH,"First Aid is highly relevant for roles involving child supervision and safety, like an After School Instructor.",First Aid certification,MATCH,8,Community & Recreation Services,Non-managerial
1144,After School Program Teacher,CPR certification,MATCH,"CPR certification is often required for roles involving childcare, ensuring safety and emergency preparedness.",CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
1145,After School Teacher,First Aid certification,MATCH,First Aid is often required for teachers working with children to handle minor emergencies.,First Aid certification,MATCH,2,Education Professionals,Non-managerial
1146,After School Teacher,CPR certification,MATCH,"CPR certification is often required or highly recommended for individuals working with children, ensuring safety.",CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
1149,After School Tutor,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Tutoring roles often require licensure or clearance mandated by local authorities, especially when working with children.",Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,2,Education Professionals,Non-managerial
1150,Aftercare & Discharge Coordinator,CPR certification,MATCH,Often required or beneficial for healthcare roles involving patient interaction and safety.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
1153,Afterschool Assistant Teacher Childcare Family Support Services,First Aid certification,MATCH,"First Aid is crucial for roles involving childcare and direct support, ensuring safety and immediate response to incidents.",First Aid certification,MATCH,2,Education Professionals,Non-managerial
1154,Afterschool Coordinator,AED certification,MATCH,AED certification is relevant for safety and emergency preparedness in roles supervising children.,AED certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
1156,Afterschool Group Leader,CPR certification,MATCH,"CPR certification is often required for roles involving childcare and supervision, ensuring safety.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
1157,Afterschool Teacher,First Aid certification,MATCH,"First Aid is often required for roles involving childcare, ensuring safety and immediate response to injuries.",First Aid certification,MATCH,2,Education Professionals,Non-managerial
1158,Afterschool Teacher Childcare Family Support Services,First Aid certification,MATCH,First Aid is often required for childcare and teaching roles involving children's safety.,First Aid certification,MATCH,2,Education Professionals,Non-managerial
1162,Agency RN,CPR certification,MATCH,"CPR certification is commonly required for Registered Nurses, including those working for agencies.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
1163,Agency Registered Nurse,CPR certification,MATCH,"CPR certification is commonly required for Registered Nurse positions, including agency roles.",CPR certification,MATCH,9,Nursing & Healthcare,Non-managerial
1187,Air Cond Equip Mechanic,EPA certification,MATCH,EPA certification is typically required for handling refrigerants in air conditioning systems.,EPA certification,MATCH,0,Skilled Trades & Technicians,Managerial
